Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.374124,7.374124,7.291268,7.291268,1.626882,407940
1962-01-03,7.291268,7.355003,7.291268,7.355003,1.641102,305955
1962-01-04,7.355003,7.355003,7.278521,7.281708,1.624747,274575
1962-01-05,7.272148,7.272148,7.125558,7.138305,1.592750,384405
1962-01-08,7.131931,7.131931,6.947100,7.004461,1.562886,572685
1962-01-09,7.036329,7.176546,7.036329,7.087317,1.581374,517770
1962-01-10,7.100064,7.131931,7.100064,7.100064,1.584217,313800
1962-01-11,7.119184,7.176546,7.119184,7.176546,1.601283,337335
1962-01-12,7.189293,7.240280,7.189293,7.189293,1.604127,462855
1962-01-15,7.214786,7.237094,7.214786,7.221160,1.611237,266730
1962-01-16,7.214786,7.214786,7.144678,7.144678,1.594173,266730
1962-01-17,7.112811,7.112811,7.010835,7.029955,1.568574,439320
1962-01-18,7.049076,7.119184,7.049076,7.049076,1.572841,392250
1962-01-19,7.049076,7.068196,6.972594,7.055449,1.574263,423630
1962-01-22,7.055449,7.125558,7.036329,7.042702,1.571419,290265
1962-01-23,7.039516,7.049076,6.959847,6.972594,1.555776,392250
1962-01-24,6.972594,7.010835,6.937540,7.010835,1.564307,431475
1962-01-25,7.010835,7.068196,6.921606,6.934353,1.547243,337335
1962-01-26,6.934353,6.959847,6.896112,6.899299,1.539421,258885
1962-01-29,6.899299,6.947100,6.781389,6.781389,1.513113,611910
1962-01-30,6.781389,6.819630,6.695347,6.695347,1.493915,776655
1962-01-31,6.762269,6.908859,6.762269,6.908859,1.541554,800190
1962-02-01,6.978967,7.087317,6.978967,7.068196,1.577109,674670
1962-02-02,7.068196,7.112811,7.036329,7.112811,1.587061,533460
1962-02-05,7.112811,7.112811,6.985341,7.023582,1.567152,329490
1962-02-06,7.023582,7.036329,6.998088,7.029955,1.568788,274575
1962-02-07,7.036329,7.074570,7.036329,7.036329,1.570210,266730
1962-02-08,7.036329,7.074570,7.036329,7.042702,1.571633,23535
1962-02-09,7.042702,7.093690,7.010835,7.093690,1.583012,455010
1962-02-12,7.093690,7.151052,7.087317,7.100064,1.584432,298110
1962-02-13,7.100064,7.106437,6.985341,6.985341,1.558831,274575
1962-02-14,6.985341,7.010835,6.959847,6.972594,1.555987,219660
1962-02-15,6.972594,6.972594,6.940727,6.947100,1.550297,243195
1962-02-16,6.947100,6.972594,6.940727,6.940727,1.548876,235350
1962-02-19,6.940727,6.972594,6.857871,6.870618,1.533230,298110
1962-02-20,6.873805,6.908859,6.873805,6.873805,1.533942,305955
1962-02-21,6.873805,6.921606,6.822817,6.822817,1.522564,384405
1962-02-23,6.832377,6.857871,6.832377,6.845124,1.527542,305955
1962-02-26,6.845124,6.851498,6.806883,6.819630,1.521853,313800
1962-02-27,6.819630,6.876992,6.781389,6.832377,1.524698,368715
1962-02-28,6.832377,6.845124,6.794136,6.845124,1.527542,282420
1962-03-01,6.870618,6.927980,6.870618,6.927980,1.546032,298110
1962-03-02,6.985341,7.023582,6.985341,6.985341,1.558831,258885
1962-03-05,6.985341,6.985341,6.934353,6.959847,1.553143,376560
1962-03-06,6.959847,6.991714,6.947100,6.966221,1.554565,196125
1962-03-07,6.966221,6.988528,6.947100,6.988528,1.559543,133365
1962-03-08,6.988528,7.004461,6.947100,7.004461,1.563099,196125
1962-03-09,7.010835,7.049076,7.010835,7.049076,1.573055,305955
1962-03-12,7.049076,7.068196,7.023582,7.042702,1.571633,298110
1962-03-13,7.042702,7.042702,7.010835,7.036329,1.570210,133365
1962-03-14,7.036329,7.055449,7.010835,7.023582,1.567366,211815
1962-03-15,7.023582,7.061823,7.010835,7.010835,1.564520,258885
1962-03-16,7.010835,7.042702,7.010835,7.042702,1.571633,172590
1962-03-19,7.055449,7.087317,7.055449,7.061823,1.575900,392250
1962-03-20,7.049076,7.049076,7.017208,7.017208,1.565943,172590
1962-03-21,7.017208,7.036329,6.998088,7.023582,1.567366,274575
1962-03-22,6.998088,6.998088,6.947100,6.947100,1.550297,251040
1962-03-23,6.953474,6.985341,6.953474,6.972594,1.555987,196125
1962-03-26,6.972594,6.998088,6.959847,6.969407,1.555276,141210
1962-03-27,6.953474,6.953474,6.832377,6.838751,1.526119,368715
1962-03-28,6.845124,6.896112,6.845124,6.876992,1.534652,345180
1962-03-29,6.876992,6.908859,6.857871,6.857871,1.530386,243195
1962-03-30,6.845124,6.845124,6.759082,6.790950,1.515452,462855
1962-04-02,6.787763,6.787763,6.698534,6.698534,1.494829,392250
1962-04-03,6.692161,6.692161,6.462715,6.532823,1.457849,957090
1962-04-04,6.532823,6.590185,6.504143,6.504143,1.451450,682515
1962-04-05,6.539197,6.641173,6.539197,6.641173,1.482028,957090
1962-04-06,6.641173,6.692161,6.590185,6.634799,1.480606,455010
1962-04-09,6.634799,6.673040,6.590185,6.641173,1.482028,23535
1962-04-10,6.641173,6.666667,6.602932,6.666667,1.487717,274575
1962-04-11,6.666667,6.717655,6.577438,6.577438,1.467805,556995
1962-04-12,6.577438,6.590185,6.507330,6.507330,1.452160,423630
1962-04-13,6.507330,6.602932,6.500956,6.602932,1.473494,658980
1962-04-16,6.602932,6.647546,6.526450,6.596558,1.472072,533460
1962-04-17,6.596558,6.628426,6.564691,6.628426,1.479184,313800
1962-04-18,6.628426,6.685787,6.609305,6.615679,1.476339,447165
1962-04-19,6.615679,6.641173,6.590185,6.615679,1.476339,407940
1962-04-23,6.615679,6.622052,6.583811,6.609305,1.474917,329490
1962-04-24,6.609305,6.650733,6.596558,6.602932,1.473494,478545
1962-04-25,6.602932,6.628426,6.532823,6.532823,1.457849,486390
1962-04-26,6.526450,6.526450,6.367113,6.367113,1.420869,972780
1962-04-27,6.367113,6.437221,6.118547,6.188655,1.381045,1710210
1962-04-30,6.188655,6.246017,5.736138,5.787126,1.291441,2455485
1962-05-01,5.787126,5.920969,5.481198,5.889101,1.314197,5562105
1962-05-02,5.991077,6.169535,5.991077,6.022945,1.344066,2675145
1962-05-03,6.022945,6.169535,5.978330,6.147228,1.371801,1427790
1962-05-04,6.147228,6.195029,6.086679,6.195029,1.382468,815880
1962-05-07,6.195029,6.242830,6.057999,6.057999,1.351889,870795
1962-05-08,6.050032,6.050032,5.857234,5.857234,1.307293,1082610
1962-05-09,5.857234,5.911409,5.736138,5.748885,1.283110,1678830
1962-05-10,5.748885,5.860421,5.723391,5.774379,1.288799,2000475
1962-05-11,5.774379,5.863607,5.659656,5.685150,1.268884,1984785
1962-05-14,5.685150,5.793499,5.586361,5.793499,1.293067,2855580
1962-05-15,5.793499,5.901848,5.761632,5.761632,1.285954,1765125
1962-05-16,5.761632,5.857234,5.761632,5.825366,1.300181,925710
1962-05-17,5.825366,5.825366,5.697897,5.723391,1.277419,1019850
1962-05-18,5.723391,5.755258,5.678776,5.755258,1.284532,768810
1962-05-21,5.755258,5.755258,5.685150,5.736138,1.280265,415785
1962-05-22,5.729764,5.729764,5.544933,5.544933,1.237589,1051230
1962-05-23,5.544933,5.583174,5.293180,5.293180,1.181400,3028170
1962-05-24,5.293180,5.430210,5.073295,5.073295,1.132323,4346130
1962-05-25,5.073295,5.188018,4.945825,5.079669,1.133746,4503030
1962-05-28,5.060548,5.060548,4.525175,4.601657,1.027057,4518720
1962-05-29,4.659018,4.933078,4.659018,4.882091,1.089648,4040175
