Month;Price;Change
Oct 2018;1.88;11.24%
Nov 2018;1.84;-2.13%
Dec 2018;1.71;-7.07%
Jan 2019;1.72;0.58%
Feb 2019;1.73;0.58%
Mar 2019;1.70;-1.73%
Apr 2019;1.62;-4.71%
May 2019;1.57;-3.09%
Jun 2019;1.63;3.82%
Jul 2019;1.63;0.00%
Aug 2019;1.56;-4.29%
Sep 2019;1.56;0.00%
Oct 2019;1.51;-3.21%
Nov 2019;1.62;7.28%
Dec 2019;1.61;-0.62%
Jan 2020;1.56;-3.11%
Feb 2020;1.50;-3.85%
Mar 2020;1.49;-0.67%
Apr 2020;1.41;-5.37%
May 2020;1.42;0.71%
Jun 2020;1.42;0.00%
Jul 2020;1.49;4.93%
Aug 2020;1.60;7.38%
Sep 2020;1.60;0.00%
Oct 2020;1.51;-5.63%
Nov 2020;1.60;5.96%
Dec 2020;1.59;-0.62%
Jan 2021;1.56;-1.89%
Feb 2021;1.62;3.85%
Mar 2021;1.63;0.62%
Apr 2021;1.64;0.61%
May 2021;1.76;7.32%
Jun 2021;1.87;6.25%
Jul 2021;2.08;11.23%
Aug 2021;2.10;0.96%
Sep 2021;2.31;10.00%
Oct 2021;2.32;0.43%
Nov 2021;2.41;3.88%
Dec 2021;2.48;2.90%
Jan 2022;2.43;-2.02%
